countryName,IU07,GDP07,GDP_PC07,GDP_PC_Growth07,Health_Exp07,HDI07,EDI07,CPI07,PSI07,Unemployment07
Afghanistan,1.9,1176.12635743384,1247.753118,11.0227739357486,31.84018306,0.431,0.336,1.8,-2.410581,2.128000021
Albania,15.0361154084109,7276.30296869082,8450.918236,6.78392659121043,216.4131347,0.718,0.642,2.9,-0.203224,15.9659996
Algeria,9.45119062555304,11897.1038212039,12621.64417,1.80824940530273,150.3797824,0.708,0.588,3.0,-1.14836,13.78999996
Angola,1.7,5697.25132780177,6044.217156,9.89001150552824,92.45201615,0.482,0.376,2.2,-0.6660322,14.63300037
Argentina,25.9466329403819,16994.6959837683,18029.68258,7.92423813871991,552.2446557,0.806,0.796,2.9,0.0988585,8.470000267
Armenia,6.02125339712607,6609.17182379203,7011.674125,14.7456165090791,170.9126377,0.724,0.717,3.0,0.150446,9.812000275
Australia,69.45,36560.4056480642,40733.1388,3.19763845544081,3794.238045,0.908,0.879,8.6,0.9287898,4.376999855
Austria,69.37,39392.5405883999,43939.42544,3.39173082681461,4472.846727,0.881,0.806,8.1,1.283752,4.857999802
Azerbaijan,14.54,12724.3483373841,13499.26835,24.0486789316635,178.6787086,0.712,0.662,2.1,-0.6255671,6.539999962
Bahamas,27.0,30996.428799745,32884.12884,-0.464585359396949,1694.281508,0.794,0.717,0.0,0.7300045,7.880000114
Bahrain,32.91,40300.1797819493,42754.48352,0.192081605091587,692.9870445,0.796,0.644,5.0,-0.2471969,0.838
Bangladesh,1.8,2088.72093530987,2215.925221,5.75342068854268,13.88296064,0.521,0.395,2.0,-1.540048,3.767999887
Barbados,58.2,16765.324423418,17786.34216,1.4115218909335,1024.984893,0.796,0.732,6.9,1.04432,7.409999847
Belarus,19.7,12781.8090928852,13560.22849,9.09945997853629,279.401729,0.756,0.774,2.1,0.3405411,6.781000137
Belgium,64.44,36755.6563289744,41312.67715,2.91837518224168,3962.243044,0.899,0.871,7.1,0.7574292,7.458000183
Belize,24.6,7297.39843287217,7741.814124,-1.49656617043728,197.5657408,0.678,0.626,3.0,0.1944116,8.510000229
Benin,1.79,1701.97113642588,1805.622141,3.00432919326484,27.90012437,0.455,0.366,2.7,0.3861226,0.731999993
Bhutan,5.92,5181.00986019374,5472.471917,17.0317608048551,63.93717343,0.539,0.358,5.0,0.5686632,3.700000048
Bosnia and Herzegovina,27.92,8188.58984099064,9335.381823,5.92979777862514,386.9458148,0.713,0.615,3.3,-0.6306275,28.98399925
Botswana,5.28,12409.2978745779,13165.03113,5.99334715530513,300.1493113,0.625,0.625,5.4,1.055395,16.62899971
Brazil,30.88,12568.1979009379,13333.60826,4.97470467428765,604.9819785,0.705,0.588,3.5,-0.3569552,8.326999664
Brunei Darussalam,44.68,79631.1923638581,84480.77701,-1.10134032413342,702.8585439,0.827,0.677,0.0,1.106725,5.624000072
Bulgaria,33.64,12800.8166750994,14463.16739,8.1366152859423,361.2349755,0.764,0.738,4.1,0.3582801,6.877999783
Burkina Faso,0.75,1261.98290234091,1338.838375,2.52031350933548,27.96674999,0.344,0.194,2.9,0.3076967,3.299999952
Burundi,0.7,666.875594936883,707.4886958,0.104987385930926,18.07362977,0.363,0.301,2.5,-1.375335,1.639999986
Cambodia,0.49,2198.29217452997,2332.169411,8.58312320863396,30.96545685,0.516,0.424,2.0,-0.3629849,1.167999983
Cameroon,2.93,2691.89728959388,2855.835357,2.06485552402418,50.578296,0.481,0.428,2.4,-0.3250326,3.062999964
Canada,73.2,39439.8068856578,41629.2147,5.83579337659199,4125.219043,0.891,0.833,8.7,1.006867,6.035999775
Central African Republic,0.375815961044797,834.531689380773,885.3551412,2.6155360398902,18.94192623,0.334,0.288,2.0,-1.854586,6.605999947
Chad,0.847224520710968,1635.09670591249,1734.67502,-0.173739976694137,34.96267017,0.345,0.222,1.8,-1.865933,1.269999981
Chile,35.9,16941.8359830089,18529.30257,3.79033938890592,650.0741521,0.801,0.745,7.0,0.4071552,8.427000046
China,16.0,6847.06962339115,7264.060036,13.6363448575165,97.74692574,0.67,0.565,3.5,-0.4988205,4.300000191
Colombia,21.8,9792.90295192225,10389.29628,5.53772029341457,269.5802367,0.713,0.618,3.8,-1.80328,11.20400047
Comoros,2.5,2206.55932912413,2340.94004,-1.58712862996107,67.76602334,0.492,0.399,2.6,-1.094133,3.924000025
Costa Rica,28.4,11625.9304857052,12333.95623,6.7136825055065,430.4782281,0.742,0.628,5.0,0.5834517,4.489999771
Croatia,41.44,19354.9821889334,22254.04335,5.289387541605,1041.034397,0.801,0.734,4.1,0.6047199,9.909000397
Cuba,11.69,0.0,0.0,7.35867279632134,568.5514294,0.768,0.815,4.2,0.4513592,1.787999988
Cyprus,40.77,32849.9410426219,35630.05078,2.88407630967997,1641.701496,0.844,0.755,5.3,0.5371549,3.921999931
Denmark,85.03,38968.5153979593,46373.51307,0.462731524928344,5468.379131,0.904,0.884,9.4,1.117682,3.801000118
Djibouti,1.62,0.0,0.0,0.0,50.20168062,0.424,0.267,2.9,-0.1221943,11.02900028
Dominica,40.2744630071599,9100.90183551733,9655.151904,6.23808402814893,319.4908013,0.715,0.61,5.6,0.7879776,0.0
Dominican Republic,17.66,9853.1717179896,10453.23545,6.03369406829427,193.8076711,0.689,0.595,3.0,-0.07755,5.157999992
Ecuador,10.8,8316.56816658788,8823.051871,0.494779992858668,210.592595,0.706,0.626,2.1,-0.8144428,3.14199996
Egypt,16.03,8471.3434867587,8987.253096,5.22829913961098,77.66156169,0.651,0.529,2.9,-0.5513738,8.800000191
El Salvador,6.11,5847.27216403044,6203.374346,1.41997589104616,208.9266414,0.644,0.555,4.0,-0.0063193,6.409999847
Equatorial Guinea,1.55712305943539,33840.5510026199,35901.4597,10.064242517383,232.3387025,0.585,0.433,1.9,0.2559578,7.822000027
Eritrea,0.41,2042.66479508839,2167.064236,-1.22452749776183,12.96315869,0.427,0.271,2.8,-1.047726,6.360000134
Estonia,66.19,22170.2522577934,27378.97271,8.06544031352297,832.4518513,0.839,0.856,6.5,0.6338796,4.592000008
Ethiopia,0.37,811.064277431763,860.4585506,8.43726994403791,11.45837214,0.377,0.279,2.4,-1.803412,2.178999901
Fiji,10.8978310454645,6947.96198649698,7371.096801,-1.83717956882721,150.905555,0.691,0.714,0.0,0.0618453,3.75999999
Finland,80.78,37801.784534824,42523.429,4.85198355903098,3772.27623,0.901,0.874,9.4,1.487837,6.854000092
France,66.09,34088.3600835306,37670.52784,1.79299338592523,4294.206168,0.867,0.775,7.3,0.5636244,7.657000065
Gabon,5.76700457562583,15549.513219436,16496.48737,2.95415018453622,263.2390755,0.643,0.585,3.3,0.3033017,17.35400009
