countryName,IU15,GDP15,GDP_PC15,GDP_PC_Growth15,Health_Exp15,HDI15,EDI15,CPI15,PSI15,Unemployment15
Afghanistan,8.26,1886.69297689805,1766.593077,-1.6228866716696,60.0888133,0.49,0.405,11.0,-2.571222,1.67900002
Albania,63.252932696931,11662.0304810353,10970.3214,2.51685221249549,264.4346027,0.788,0.77,36.0,0.3461291,17.07999992
Algeria,38.2,14711.2208543312,13774.75892,1.60047829963847,290.5032401,0.751,0.663,36.0,-1.09016,11.20600033
Angola,12.4,7096.60061493129,6644.857255,-2.46871516936926,108.6806695,0.565,0.472,15.0,-0.5008978,7.278999805
Argentina,68.0430641088122,20551.8331919861,19243.57947,1.62966427946265,1298.683163,0.828,0.832,32.0,0.0147854,7.643000126
Armenia,59.1023777148789,8727.38544721151,8171.832354,2.73612872403588,366.0492478,0.748,0.746,35.0,-0.2523326,18.26099968
Australia,84.560519347399,46276.1506853863,43970.8037,0.732399751351792,4887.794829,0.933,0.918,79.0,0.8849798,6.056000233
Austria,83.9401419315026,49879.2664728545,44197.5402,-0.111540189504495,4603.02588,0.906,0.861,76.0,1.143079,5.72300005
Azerbaijan,77.0,17973.0906671734,16828.99016,-0.145834453695798,377.4276412,0.749,0.68,29.0,-0.7295656,4.960000038
Bahamas,78.0,30696.3383891008,28742.32297,-0.362951163814515,1739.746354,0.799,0.731,0.0,0.9074765,12.0
Bahrain,93.4783011354165,46911.9622733638,43925.72018,0.180519551236884,1128.755854,0.834,0.728,51.0,-1.07354,1.075999975
Bangladesh,14.4,3451.398506706,3231.695237,5.36878342333158,31.84148833,0.588,0.479,25.0,-1.212018,4.415999889
Barbados,76.11,17386.9395860396,16280.15129,2.02613967083379,1158.435132,0.812,0.777,0.0,1.135361,11.35000038
Belarus,62.230360906803,18389.7437502613,17219.12065,-3.98264886374076,360.9772219,0.811,0.837,32.0,0.1100165,5.913000107
Belgium,85.0529,46213.2665340101,42045.38362,1.44327342388083,4092.153436,0.913,0.89,77.0,0.5870946,8.482000351
