countryName,IU12,GDP12,GDP_PC12,GDP_PC_Growth12,Health_Exp12,HDI12,EDI12,CPI12,PSI12,Unemployment12
Afghanistan,5.45454545454545,1806.7639297497,1772.764974,8.97487956759646,52.21850635,0.479,0.39,8.0,-2.418561,1.692000031
Angola,6.5,6772.52833330165,6645.085625,4.70645928027089,122.2429435,0.537,0.435,22.0,-0.3893225,7.359000206
Bangladesh,5.0,2844.70256474475,2791.172098,5.29824495849087,22.74784885,0.567,0.456,26.0,-1.379089,4.047999859
Benin,4.5,1891.53038798207,1855.936331,1.92472037239352,39.1033994,0.489,0.433,36.0,0.3643676,2.734999895
Bhutan,15.6,7513.68688785312,7372.352019,3.87705671392078,80.10847711,0.591,0.424,63.0,0.7763095,2.049999952
Botswana,16.0,14558.0664085668,14284.11858,3.21936951496281,498.6568669,0.687,0.645,65.0,1.104041,17.91300011
Burkina Faso,3.72503491597675,1550.63068365519,1521.45154,3.30923981741063,32.97102135,0.394,0.253,38.0,-0.5731292,5.809000015
Burundi,1.21999994477793,762.42247952376,748.0755206,1.19805667252835,21.62524176,0.416,0.399,19.0,-1.704738,1.712000012
Cambodia,4.94,2860.14673412939,2806.325646,5.57786320621257,69.06165372,0.548,0.455,22.0,-0.1035772,1.279000044
Cameroon,7.5,3021.40920045727,2964.55354,1.72655349970383,62.70305079,0.524,0.51,26.0,-0.5885174,3.845000029
Central African Republic,3.0,1083.68992544961,1063.297485,4.63275672145772,18.71936536,0.37,0.322,26.0,-1.852923,6.918000221
Chad,2.10000000005453,1988.06482318793,1950.654221,5.27357399354591,34.92486746,0.393,0.278,19.0,-1.044117,1.777999997
Comoros,5.97529630842855,2531.03797668248,2483.409924,0.73357493936517,65.41310821,0.529,0.465,28.0,-0.452308,4.198999882
Djibouti,8.26723289204519,0.0,0.0,0.0,71.15094622,0.459,0.308,36.0,0.1606192,12.28899956
Egypt,26.4,10172.9830562616,9981.551961,-0.012959636795415,143.3803754,0.676,0.571,32.0,-1.43633,12.59700012
El Salvador,20.3213877242007,6773.62243512675,6646.159138,2.3646277003393,257.1832073,0.66,0.577,38.0,0.234584,3.845999956
Equatorial Guinea,13.9431821913076,36576.0904309039,35887.8163,3.65575583797506,311.4183752,0.587,0.439,20.0,0.2327034,8.194000244
Eritrea,0.8,0.0,0.0,0.0,19.87064909,0.422,0.271,25.0,-0.7021973,6.926000118
Ethiopia,2.9,1250.35122224316,1226.822617,5.61658278843269,20.72801009,0.429,0.314,33.0,-1.564271,2.197000027
Gabon,24.0,16536.5659575193,16225.38752,1.33821343702425,236.6305118,0.672,0.608,35.0,0.2932914,20.1760006
Gambia,12.4492287209242,2352.8084205076,2308.53422,2.10014035501909,30.98698036,0.441,0.345,34.0,-0.0007788,9.416999817
Ghana,10.6,3664.60015272442,3595.641184,6.7335635915111,89.84914679,0.57,0.541,45.0,0.130695,6.006000042
Guatemala,16.0,7031.53131061267,6899.214788,0.79880103212038,194.175675,0.613,0.45,33.0,-0.6338202,2.765000105
