Year,Country_Name,ISO_Code,GDP
1996,Aruba,ABW,28499.0894346302
1996,Afghanistan,AFG,
1996,Angola,AGO,2794.8969061564
1996,Albania,ALB,2980.06628849579
1996,Andorra,AND,
1996,Arab World,ARB,8094.14984163045
1996,United Arab Emirates,ARE,76848.7922425623
1996,Argentina,ARG,10857.4296683631
1996,Armenia,ARM,1742.73411428108
1996,American Samoa,ASM,
1996,Antigua and Barbuda,ATG,13729.7575491138
1996,Australia,AUS,21972.0526522953
1996,Austria,AUT,24529.2078275032
1996,Azerbaijan,AZE,2563.72099998245
1996,Burundi,BDI,557.169350341568
1996,Belgium,BEL,22715.6320301992
1996,Benin,BEN,1142.40629405757
1996,Burkina Faso,BFA,719.456366749088
1996,Bangladesh,BGD,1130.86005913727
1996,Bulgaria,BGR,6779.30803153646
1996,Bahrain,BHR,32448.9802487401
1996,"Bahamas, The",BHS,21643.2303617601
1996,Bosnia and Herzegovina,BIH,2364.76078686753
1996,Belarus,BLR,4200.59488308142
1996,Belize,BLZ,4467.04879255038
1996,Bermuda,BMU,31935.8848363997
1996,Bolivia,BOL,3108.9104380255
1996,Brazil,BRA,8300.24470901134
1996,Barbados,BRB,10658.6802530785
1996,Brunei Darussalam,BRN,64468.3764897228
1996,Bhutan,BTN,2168.99147285491
1996,Botswana,BWA,7174.16372845303
1996,Central African Republic,CAF,626.792728732357
1996,Canada,CAN,23962.4994488813
1996,Central Europe and the Baltics,CEB,8368.851191679
1996,Switzerland,CHE,30542.0574326343
1996,Channel Islands,CHI,
1996,Chile,CHL,8011.5711832202
1996,China,CHN,2074.36167017057
1996,Cote d'Ivoire,CIV,2309.18401549561
1996,Cameroon,CMR,1787.79443252759
1996,"Congo, Dem. Rep.",COD,568.869238696374
1996,"Congo, Rep.",COG,3581.49165166276
1996,Colombia,COL,6539.86636668586
1996,Comoros,COM,1661.1123212447
1996,Cabo Verde,CPV,1979.94708344319
1996,Costa Rica,CRI,6533.76494323797
1996,Caribbean small states,CSS,7680.19880092852
1996,Cuba,CUB,
1996,Curacao,CUW,
1996,Cayman Islands,CYM,
1996,Cyprus,CYP,17297.4224893819
1996,Czech Republic,CZE,14583.4331729136
1996,Germany,DEU,24047.7613682869
1996,Djibouti,DJI,
1996,Dominica,DMA,5534.32440618398
1996,Denmark,DNK,23711.0140768588
1996,Dominican Republic,DOM,5111.46078275481
1996,Algeria,DZA,7129.63842232678
1996,East Asia & Pacific (excluding high income),EAP,2637.76296791755
1996,Early-demographic dividend,EAR,3644.50874302482
1996,East Asia & Pacific,EAS,4827.00330641378
1996,Europe & Central Asia (excluding high income),ECA,5079.68566790098
1996,Europe & Central Asia,ECS,13116.1167361671
1996,Ecuador,ECU,5730.98921936499
1996,"Egypt, Arab Rep.",EGY,4821.40941580911
1996,Euro area,EMU,21051.8974643336
1996,Eritrea,ERI,1818.46458419303
1996,Spain,ESP,16958.0798751631
1996,Estonia,EST,6874.48454433474
1996,Ethiopia,ETH,469.149191133492
1996,European Union,EUU,18743.8028366734
1996,Fragile and conflict affected situations,FCS,1868.05033549157
1996,Finland,FIN,20062.1735381835
1996,Fiji,FJI,4858.68860230683
1996,France,FRA,21331.4504294765
1996,Faroe Islands,FRO,
1996,"Micronesia, Fed. Sts.",FSM,2253.1976622996
1996,Gabon,GAB,15006.9494544877
1996,United Kingdom,GBR,21851.8482323716
1996,Georgia,GEO,2090.21150382382
1996,Ghana,GHA,1547.23629852988
1996,Gibraltar,GIB,
1996,Guinea,GIN,1078.17423087882
1996,"Gambia, The",GMB,1700.15835399509
1996,Guinea-Bissau,GNB,1395.43097180497
1996,Equatorial Guinea,GNQ,2085.74948754072
1996,Greece,GRC,16129.2531431784
1996,Grenada,GRD,5504.27593916109
1996,Greenland,GRL,
1996,Guatemala,GTM,4202.79022080406
1996,Guam,GUM,
1996,Guyana,GUY,3187.81339659807
1996,High income,HIC,23215.1851532169
1996,"Hong Kong SAR, China",HKG,24070.374776044
1996,Honduras,HND,2389.19600726567
1996,Heavily indebted poor countries (HIPC),HPC,1068.78900320827
1996,Croatia,HRV,8685.08959064418
1996,Haiti,HTI,1261.64154864706
1996,Hungary,HUN,9340.32525209073
1996,IBRD only,IBD,3716.94244867084
1996,IDA & IBRD total,IBT,3262.34062942533
1996,IDA total,IDA,1536.24162342224
1996,IDA blend,IDB,2310.30858493969
1996,Indonesia,IDN,4764.20567350749
1996,IDA only,IDX,1126.06032851651
1996,Isle of Man,IMN,
1996,India,IND,1741.08440369035
1996,Not classified,INX,
1996,Ireland,IRL,20479.1673397556
1996,"Iran, Islamic Rep.",IRN,9488.51733833584
1996,Iraq,IRQ,5282.53320806754
1996,Iceland,ISL,24784.3783778428
1996,Israel,ISR,20755.2333375571
1996,Italy,ITA,23029.5000345826
1996,Jamaica,JAM,6243.56134121296
1996,Jordan,JOR,5143.97020584202
1996,Japan,JPN,24515.11627925
1996,Kazakhstan,KAZ,6303.64413672389
1996,Kenya,KEN,1637.8616427678
1996,Kyrgyz Republic,KGZ,1334.99822966775
1996,Cambodia,KHM,841.33893018506
1996,Kiribati,KIR,1400.4339363322
1996,St. Kitts and Nevis,KNA,14237.9999737845
1996,"Korea, Rep.",KOR,14433.0008953627
1996,Kuwait,KWT,60485.3054047324
1996,Latin America & Caribbean (excluding high income),LAC,7703.70131727707
1996,Lao PDR,LAO,1581.56040599868
1996,Lebanon,LBN,7980.55442670674
1996,Liberia,LBR,
1996,Libya,LBY,
1996,St. Lucia,LCA,7726.277043531
1996,Latin America & Caribbean,LCN,7845.72108931205
1996,Least developed countries: UN classification,LDC,1023.93081642695
1996,Low income,LIC,972.330863245403
1996,Liechtenstein,LIE,
1996,Sri Lanka,LKA,3431.79663560793
1996,Lower middle income,LMC,2282.73534592144
1996,Low & middle income,LMY,3183.05378781275
1996,Lesotho,LSO,1168.39442974749
1996,Late-demographic dividend,LTE,3822.36893982621
1996,Lithuania,LTU,6379.40809943456
1996,Luxembourg,LUX,41343.7316330452
1996,Latvia,LVA,5778.97793145987
1996,"Macao SAR, China",MAC,34872.9268541715
1996,St. Martin (French part),MAF,
1996,Morocco,MAR,3243.96939508189
1996,Monaco,MCO,
1996,Moldova,MDA,2218.70472667101
1996,Madagascar,MDG,1205.60285065658
1996,Maldives,MDV,6134.84697529007
1996,Middle East & North Africa,MEA,9453.41363357612
1996,Mexico,MEX,9076.08773481945
1996,Marshall Islands,MHL,2510.27384394128
1996,Middle income,MIC,3389.32082380257
1996,North Macedonia,MKD,5083.5530914414
1996,Mali,MLI,1021.21423537915
1996,Malta,MLT,13675.0714211261
